,distance,passenger_count,year,hour,day,fare_amountRF,fare_amountLR,fare_amountDT
0,0.021553915,1,2015,13,1,9.514784237,9.181720806,9.454545455
1,0.023179781,1,2015,13,1,10.10493284,9.496834984,10.49935065
2,0.005870395,1,2011,11,5,4.76049654,4.758195872,4.572989691
3,0.018649411,1,2012,21,5,6.872780297,7.674985874,6.402884615
4,0.050631477,1,2012,21,5,12.82574711,13.87352973,13.3512
5,0.031320372,1,2012,21,5,10.10141159,10.13078422,9.349056604
6,0.01085779,1,2011,12,3,5.674584974,5.788252351,5.659753086
7,0.236410151,1,2011,12,3,15.80300258,49.50325802,15.74822335
8,0.036977514,1,2011,12,3,11.0017462,10.85059753,11.2008134
9,0.012263819,1,2014,15,1,6.867999496,7.092092617,6.72007722
10,0.021826594,1,2014,15,1,9.48241889,8.945483824,9.454545455
11,0.052441067,1,2014,15,1,16.05661902,14.87897016,14.91414141
12,0.007576757,1,2010,20,0,4.823851586,5.01502174,4.572989691
13,0.019867953,1,2010,20,0,7.19418817,7.397216787,7.762983425
14,0.023282269,1,2011,3,3,7.376075317,8.083056817,7.871428571
15,0.050636668,1,2011,3,3,12.2350923,13.38469798,12.29285714
16,0.003509156,1,2012,16,6,4.551699872,4.652277529,4.572989691
17,0.027722348,1,2012,16,6,9.737257783,9.345111866,10.19032258
18,0.007082438,1,2012,16,6,4.956568149,5.344826522,4.572989691
19,0.005057147,1,2012,16,6,4.611735124,4.952298646,4.572989691
20,0.018032438,1,2014,2,2,7.347432645,8.021156106,7.76
21,0.022568264,1,2014,13,5,9.609015273,8.962361222,10.49935065
22,0.011981314,1,2014,13,5,6.743161034,6.910471404,6.72007722
23,0.018809318,1,2014,13,5,8.249769602,8.233828123,8.5
24,0.054539931,1,2014,13,5,15.70881879,15.15888962,16.42857143
25,0.012523835,1,2014,13,5,6.774478487,7.015619225,6.72007722
26,0.153701849,1,2014,13,5,16.37225363,34.37776992,17.45454545
27,0.09178535,1,2014,13,5,16.37225363,22.37754038,17.45454545
28,0.010579276,1,2014,13,5,6.65641801,6.638738081,6.72007722
29,0.047823512,1,2014,13,5,15.15040859,13.85715952,14.91414141
30,0.026398247,1,2014,13,5,10.09114405,9.704662116,10.49935065
31,0.011226478,1,2014,13,5,6.606665679,6.764174306,6.72007722
32,0.009642171,1,2014,13,5,5.979232639,6.457114977,5.712209302
33,0.026163402,1,2014,13,5,10.20008125,9.659146109,10.49935065
34,0.01922395,1,2014,13,5,8.97177369,8.31418932,9.454545455
35,0.01601311,1,2014,13,5,8.215932654,7.691886485,8.5
36,0.010404668,1,2014,13,5,6.612145162,6.604896904,6.72007722
37,0.011300786,1,2014,13,5,6.723992387,6.778576284,6.72007722
38,0.01861289,1,2014,13,5,8.249769602,8.195757947,8.5
39,0.006626411,1,2014,13,5,5.298304045,5.872621096,5.28030303
